Id,Business,Sub category,Created at,Updated at
168,90,39,2021-01-22 12:02:18,2021-01-22 12:02:18
167,90,39,2021-01-22 12:02:16,2021-01-22 12:02:16
166,89,38,2021-01-22 11:59:22,2021-01-22 11:59:22
165,89,38,2021-01-22 11:59:21,2021-01-22 11:59:21
164,88,42,2021-01-22 11:57:18,2021-01-22 11:57:18
163,88,42,2021-01-22 11:57:16,2021-01-22 11:57:16
162,87,41,2021-01-22 11:53:39,2021-01-22 11:53:39
161,87,41,2021-01-22 11:53:39,2021-01-22 11:53:39
160,86,44,2021-01-22 11:49:28,2021-01-22 11:49:28
159,86,44,2021-01-22 11:49:25,2021-01-22 11:49:25
158,85,37,2020-12-04 09:46:23,2020-12-04 09:46:23
157,85,37,2020-12-04 09:46:22,2020-12-04 09:46:22
156,84,37,2020-12-04 09:36:23,2020-12-04 09:36:23
155,84,37,2020-12-04 09:36:22,2020-12-04 09:36:22
154,83,37,2020-12-04 09:31:53,2020-12-04 09:31:53
153,83,37,2020-12-04 09:31:53,2020-12-04 09:31:53
152,82,25,2020-12-03 17:31:31,2020-12-03 17:31:31
151,82,25,2020-12-03 17:31:30,2020-12-03 17:31:30
150,81,25,2020-12-03 17:01:31,2020-12-03 17:01:31
149,81,25,2020-12-03 17:01:30,2020-12-03 17:01:30
148,80,35,2020-12-03 16:53:50,2020-12-03 16:53:50
147,80,35,2020-12-03 16:53:49,2020-12-03 16:53:49
146,79,35,2020-12-03 16:50:14,2020-12-03 16:50:14
145,79,35,2020-12-03 16:50:13,2020-12-03 16:50:13
144,78,36,2020-12-03 16:43:55,2020-12-03 16:43:55
143,78,36,2020-12-03 16:43:54,2020-12-03 16:43:54
142,77,36,2020-12-03 16:40:15,2020-12-03 16:40:15
141,77,36,2020-12-03 16:40:15,2020-12-03 16:40:15
140,76,36,2020-12-03 16:37:25,2020-12-03 16:37:25
139,76,36,2020-12-03 16:37:24,2020-12-03 16:37:24
138,75,36,2020-12-03 16:33:52,2020-12-03 16:33:52
137,75,36,2020-12-03 16:33:51,2020-12-03 16:33:51
136,74,30,2020-12-03 16:33:43,2020-12-03 16:33:43
135,74,30,2020-12-03 16:33:42,2020-12-03 16:33:42
134,73,30,2020-12-03 16:22:00,2020-12-03 16:22:00
133,73,30,2020-12-03 16:21:59,2020-12-03 16:21:59
132,72,28,2020-12-03 16:16:47,2020-12-03 16:16:47
131,72,28,2020-12-03 16:16:46,2020-12-03 16:16:46
130,71,23,2020-12-03 16:00:49,2020-12-03 16:00:49
129,71,23,2020-12-03 16:00:48,2020-12-03 16:00:48
128,70,23,2020-12-03 15:58:09,2020-12-03 15:58:09
127,70,23,2020-12-03 15:58:07,2020-12-03 15:58:07
126,69,27,2020-12-03 15:56:59,2020-12-03 15:56:59
125,69,27,2020-12-03 15:56:57,2020-12-03 15:56:57
124,68,23,2020-12-03 15:56:22,2020-12-03 15:56:22
123,68,23,2020-12-03 15:56:20,2020-12-03 15:56:20
122,67,23,2020-12-03 15:54:35,2020-12-03 15:54:35
121,67,23,2020-12-03 15:54:34,2020-12-03 15:54:34
120,66,23,2020-12-03 15:53:11,2020-12-03 15:53:11
119,66,23,2020-12-03 15:53:10,2020-12-03 15:53:10
118,65,28,2020-12-03 15:51:43,2020-12-03 15:51:43
117,65,28,2020-12-03 15:51:43,2020-12-03 15:51:43
116,64,23,2020-12-03 15:50:18,2020-12-03 15:50:18
115,64,23,2020-12-03 15:50:17,2020-12-03 15:50:17
114,63,33,2020-12-03 15:49:44,2020-12-03 15:49:44
113,63,33,2020-12-03 15:49:42,2020-12-03 15:49:42
112,62,28,2020-12-03 15:47:54,2020-12-03 15:47:54
111,62,28,2020-12-03 15:47:53,2020-12-03 15:47:53
110,61,28,2020-12-03 15:47:16,2020-12-03 15:47:16
109,61,28,2020-12-03 15:47:14,2020-12-03 15:47:14
108,60,23,2020-12-03 15:39:20,2020-12-03 15:39:20
107,60,23,2020-12-03 15:39:19,2020-12-03 15:39:19
106,59,29,2020-12-03 15:37:36,2020-12-03 15:37:36
105,59,29,2020-12-03 15:37:35,2020-12-03 15:37:35
104,58,23,2020-12-03 15:36:25,2020-12-03 15:36:25
103,58,23,2020-12-03 15:36:23,2020-12-03 15:36:23
102,56,34,2020-12-02 09:52:44,2020-12-02 09:52:44
101,56,34,2020-12-02 09:52:43,2020-12-02 09:52:43
100,55,33,2020-12-02 09:52:11,2020-12-02 09:52:11
99,55,33,2020-12-02 09:52:10,2020-12-02 09:52:10
98,54,33,2020-12-02 09:49:27,2020-12-02 09:49:27
97,54,33,2020-12-02 09:49:27,2020-12-02 09:49:27
96,53,25,2020-12-02 09:45:50,2020-12-02 09:45:50
95,53,25,2020-12-02 09:45:49,2020-12-02 09:45:49
94,52,23,2020-12-02 09:41:50,2020-12-02 09:41:50
93,52,23,2020-12-02 09:41:49,2020-12-02 09:41:49
92,51,25,2020-12-02 09:40:04,2020-12-02 09:40:04
91,51,25,2020-12-02 09:40:03,2020-12-02 09:40:03
90,50,25,2020-12-02 09:36:44,2020-12-02 09:36:44
89,50,25,2020-12-02 09:36:43,2020-12-02 09:36:43
88,49,26,2020-12-02 09:35:08,2020-12-02 09:35:08
87,49,26,2020-12-02 09:35:08,2020-12-02 09:35:08
86,48,26,2020-12-02 09:34:04,2020-12-02 09:34:04
85,48,26,2020-12-02 09:34:03,2020-12-02 09:34:03
84,47,23,2020-12-02 09:33:34,2020-12-02 09:33:34
83,47,23,2020-12-02 09:33:33,2020-12-02 09:33:33
82,45,25,2020-12-02 09:33:15,2020-12-02 09:33:15
81,45,25,2020-12-02 09:33:15,2020-12-02 09:33:15
80,44,26,2020-12-02 09:32:48,2020-12-02 09:32:48
79,44,26,2020-12-02 09:32:48,2020-12-02 09:32:48
78,43,23,2020-12-02 09:32:19,2020-12-02 09:32:19
77,43,23,2020-12-02 09:32:18,2020-12-02 09:32:18
76,42,23,2020-12-02 09:30:59,2020-12-02 09:30:59
75,42,23,2020-12-02 09:30:58,2020-12-02 09:30:58
74,41,24,2020-12-02 09:30:05,2020-12-02 09:30:05
73,41,24,2020-12-02 09:30:04,2020-12-02 09:30:04
72,40,23,2020-12-02 09:29:49,2020-12-02 09:29:49
71,40,23,2020-12-02 09:29:48,2020-12-02 09:29:48
70,39,26,2020-12-02 09:28:57,2020-12-02 09:28:57
69,39,26,2020-12-02 09:28:56,2020-12-02 09:28:56
68,38,24,2020-12-02 09:28:28,2020-12-02 09:28:28
67,38,24,2020-12-02 09:28:27,2020-12-02 09:28:27
66,37,23,2020-12-02 09:28:24,2020-12-02 09:28:24
65,37,23,2020-12-02 09:28:23,2020-12-02 09:28:23
64,36,25,2020-12-02 09:27:44,2020-12-02 09:27:44
63,36,25,2020-12-02 09:27:43,2020-12-02 09:27:43
62,35,24,2020-12-02 09:27:32,2020-12-02 09:27:32
61,35,24,2020-12-02 09:27:32,2020-12-02 09:27:32
58,33,26,2020-12-02 09:26:52,2020-12-02 09:26:52
57,33,26,2020-12-02 09:26:52,2020-12-02 09:26:52
56,31,24,2020-12-02 09:26:20,2020-12-02 09:26:20
55,31,24,2020-12-02 09:26:19,2020-12-02 09:26:19
54,29,24,2020-12-02 09:25:20,2020-12-02 09:25:20
53,29,24,2020-12-02 09:25:19,2020-12-02 09:25:19
52,28,23,2020-12-02 09:24:37,2020-12-02 09:24:37
51,28,23,2020-12-02 09:24:37,2020-12-02 09:24:37
48,26,25,2020-12-02 09:21:57,2020-12-02 09:21:57
47,26,25,2020-12-02 09:21:56,2020-12-02 09:21:56
