name,description,address,url,business_id,sub_category_id,sub_category,Category
Thermondo,"Easy and transparent heating installment and readings. Bei uns erhalten Sie ein Fest­preis­angebot, statt des branchen­üblichen Kosten­vor­anschlags. So haben Sie von Anfang an Sicherheit, was die Kosten betrifft.","Brunnenstrasse 153, 10115 Berlin",https://www.thermondo.de/,1,18,Gas,Energy
ENERGEDIS,"Wir befassen uns mit der Entwicklung und den Bau von neuen und modernen Industrieanlagen. Diese Industrieanlagen sind verbesserte Windkraftanlagen und sollen Bundesweit den Betrieb aufnehmen.  Mit der ""Technischen Windkraft"" ist es unser Ziel, eine Energieversorgung bereitzustellen und für Städte und Gemeinde direkt vor Ort anzubieten. ","Im Mediapark 5, 50670 Cologne",https://www.energedis.com/,2,17,Electricity,Energy
SEND,"Wir wollen in einer Gesellschaft leben, in der alle Menschen vom Fortschritt profitieren. Dafür vernetzen wir den Social Entrepreneurship Sektor und geben ihm eine Stimme.","Schiffbauerdamm 40, 10117 Berlin",https://www.send-ev.de/,3,21,Workshops,Community Hub
Qurdo,"Qurdo bietet Besuchern, Ausstellern und Veranstaltern eine Plattform bei der das Mitnehmen von Marketing-Material in physischer Form nicht mehr notwendig ist - der Umwelt zuliebe.","Chiemseering 61, 85551 Kirchheim",https://www.qurdo.com,4,20,Events,Community Hub
nebenan.de,Nachbarschaftshilfe finden und anbieten. Verkaufen und verschenken in der Nachbarschaft. Nachbarn unsterstützen lokale Gewerbe.,"Koepenicker Strasse 154, 10997 Berlin",https://nebenan.de/,5,23,Marketplaces,Community Hub
SUSHI,"SUSHI Bikes - The first affordable and stylish e-bike under 15 kg. With SUSHI Bikes we have developed the right e-bike for modern urbanites. It fulfils everything you expect from a contemporary bike: Design, practicability, easy handling. And at a price that lets you breathe a sigh of relief. SUSHI bikes cost only half as much as an average electric bike.","Oranienburger Strasse 12, Berlin",https://sushi-bikes.com/?lang=en,6,16,Transportation,Travel
VanMoof,"We don’t do disposable. Fast food, fast fashion? VanMoof bikes are a different kind of fast... and they're built to last a lifetime. We're fighting the disposable economy by making our bikes tougher and smarter, to keep them on the road longer.","Oranienstrasse 34, 10999 Berlin",https://www.vanmoof.com,7,16,Transportation,Travel
myBoo,"We build unique bicycles out of bamboo, together with a social project in Ghana. In 80 hours of manual work, real unique items with special driving comfort are created. We use the VAT cut to pass this on to our school in Ghana. Specifically, this means: If you buy a my Boo bamboo bike or e-bike now, an additional 2.5% of the total price will be invested in equipping computers, new classrooms, support with school scholarships and much more.","Chausseestrasse 25, Berlin, Germany",https://www.my-boo.de/,8,16,Transportation,Travel
Avesu,"Avesu sells shoes in all possible variations, from winter boots to sporty shoes to high heels, made from recycled and natural materials (e.g. bamboo, cotton or hemp) and from plastics. Nowadays nobody has to walk around in eco-shoes if he or she wants to wear vegan shoes, because the leather-free shoes of today are breathable, animal and environmentally friendly, from fair trade and also dead chic, but without death. In addition, the leather substitutes nowadays feel and look like animal leather.","Warschauer Str. 33, 10243 Berlin",https://www.avesu.de/,9,3,Shoes,Fashion
Humana,"From casual wear to highly elegant, from traditional costume to totally trendy! Whether you are looking for housewares or curtains for your living room - with us you will find maximum quality at a low price! Everything are individual pieces. Coincidence when you find two identical parts.","Oranienburger Str. 87, 10178 Berlin",https://www.humana-second-hand.de,10,1,Clothes,Fashion
Paravel,"Paravel is reimagining travel, and not just with its collection of chic suitcases. This NY-based brand has a forward-thinking sustainability model; to date, the company has recycled 1.5 million plastic water bottles into what’s called negative nylon.",,https://tourparavel.com/,11,13,Luggage,Travel
The Brando,"The Brando Resort is situated on the private island of Tetiaroa and is close to being a self-sustainable and carbon-neutral hotel. This resort is also LEED platinum certified and a member of the National Geographic unique lodges of the world. All the energy it uses is renewable, being produced either through solar power or by a biofuel power station powered by coconut oil. The seawater air conditioning system harnesses the cool water found deep in the sea and pipes it to the land for use. Any rainwater that collects on the roofs of the villas is collected to supply toilets and the laundry service. Guests are also encouraged to take one of the courses on offer that teach about subjects such as eco technology, Polynesian culture, animal life and coral reefs.","Tetiaroa, Arue 98702, French Polynesia",thebrando.com,12,14,Accommodation,Travel
Whitepod Eco-Luxury hotel,"Set at 1,400 m above sea level, Whitepod Eco-Luxury Hotel offers accommodation in a collection of pods anchored on a wooden platform. Each pod comes with a pellet stove and an en-suite bathroom.","Les Giettes, Des Cerniers, 1871 Monthey, Switzerland",https://www.whitepod.com/,13,14,Accommodation,Travel
Studio Vale ,"For an interior design office based in Berlin engaged on creating commercial and corporate spaces with sustainable materials, products and circular processes. 

Studio Vale is led by João do Vale Gonçalves. In 2018 he founded Studio Vale to design environments with a circular and sustainable approach.

For over 10 years, João has worked with successful  German interior design agencies for local and international projects in the fields of office, retail, exhibition and hospitality with clients such as Erste Bank, Casper, Orderbird, Soundcloud, Deutsche Telekom, Miele, Zalando, Puma, among others. ","Braunschweiger Strasse 41, Berlin ",https://www.studiovale.de/projects,14,8,Furniture,Home
Kentholz ,"Australian-born Stacey Kent only planned to visit Berlin for a couple of months — but a holiday turned into a new career. He moved from film set design to his own inimitable brand of sustainable furniture, made from recycled pieces of wood ingrained with Berlin history.",Schnellerstr. 1-5 12439 Berlin-Niederschoeneweide,www.kentholz.build,15,8,Furniture,Home
Vincent Vegan ,"As the first to offer the famous patties between their perfectly soft vegan brioche buns, this burger joint has taken it upon themselves to create a new chapter in which our earth and its people are treated more carefully and responsibly. ","Tamara-Danz-Str. 11, Friedrichshain",https://vincent-vegan.com/,16,6,Vegan,Food
